gender,label:de,label:en,label:el,label:el:norm,alternatives,Nom Sg,Gen Sg,Dat Sg,Akk Sg,Voc Sg,nomina insignia,source,note,factgrid,label:lat
m,Jason,Jason,Ἰάσων,ιασων,Ἰησοῦς,Ἰάσων,Ιασονος,Ἰάσονι,Ἰάσονα,,,"Bauer,Louw-Naida","""Die Juden liebten es, den Namen Ἰησοῦς durch den echtgriechischen Ἰάσων zu ersetzen"" (Bauer), daher evtl. Ἰησοῦς als Alternative?",,
m,Agathopus,Agathopus,Ἀγαθόπους,αγαθοπους,,Ἀγαθόπους,Αγαθοποδος,,"Ἀγαθόπουν,Ἀγαθόποδα",,,Bauer,0 mal im Ausgangstext,,
f,Alke,Alce,Ἄλκη,αλκη,,Ἄλκη,Αλκης,,,,, Bauer,0 mal im Ausgangstext,,
m,Amathios,Amathios?,Ἀμάθιος,αμαθιος,Αμαθι,Ἀμάθιος,Αμαθιου,,,,,Bauer,0 mal im Ausgangstext,,
m,Aristion,Aristion,Ἀριστίων,αριστιων,,Ἀριστίων,Αριστιωνος,,,,,Bauer,0 mal im Ausgangstext,,
f,Artemilla,Artemilla,Ἀρτεμύλλα,αρτεμυλλα,,Ἀρτεμύλλα,Αρτεμυλλας,,,,,Bauer,0 mal im Ausgangstext,,
m,Attalus,Attalus,Ἄτταλος,ατταλος,,Ἄτταλος,Ατταλου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165703,
m,Bassus,Bassus,Βάσσος,βασσος,,Βάσσος,Βασσου,,,,,Bauer,0 mal im Ausgangstext,,
m,Biton,Bito,Βίτων,βιτων,,Βίτων,Βιτωνος,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165759,
m,Burrus,Burrhus,Βοῦρρος,βουρρος,,Βοῦρρος,Βουρρου,,,,,Bauer,0 mal im Ausgangstext,,
m,Germanicus,Germanicus,Γερμανικός,γερμανικος,,Γερμανικός,Γερμανικοῦ,,,,,Bauer,0 mal im Ausgangstext,,
f,Grapte,Grapte,Γραπτή,γραπτη,,Γραπτή,Γραπτῆς,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165764,
m,Dathan,Dathan,Δαθάν,δαθαν,Δαθάμης,Δαθάν,"Δαθάν,Δαθαμου",,,,,Bauer,0 mal im Ausgangstext,,
m,Damas,Damas,Δαμᾶς,δαμας,,Δαμᾶς,Δαμᾶ,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165732,
m,Daphnus,Daphnus,Δάφνος,δαφνος,,Δάφνος,Δαφνου,,,,,Bauer,0 mal im Ausgangstext,,
m,Diognet,Diognetus,Διόγνητος,διογνητος,,Διόγνητος,Διογνητου,,,,,Bauer,0 mal im Ausgangstext,,
m,Diophantos,Diophantus,Διόφαντος,διοφαντος,,Διόφαντος,Διοφαντου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q166086,
f,Dirke,Dirce,Δίρκη,διρκη,,Δίρκη,Διρκης,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165758,
m,Irenaeus,Irenaeus,Εἰρηναῖος,ειρηναιος,,Εἰρηναῖος,Ειρηναιου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165946,
m,Eldad,Eldad,Ἐλδάδ,ελδαδ,,Ἐλδάδ,Ἐλδάδ,,,,,Bauer,0 mal im Ausgangstext,"https://database.factgrid.de/entity/Q165847,https://database.factgrid.de/entity/Q165845",
m,Epitropus,Epitropus?,Ἐπίτροπος,επιτροπος,,Ἐπίτροπος,Επιτροπου,,,,,Bauer,0 mal im Ausgangstext,,
m,Epiphanius,Epiphanius,Ἑπιφάνιος,επιφανιος,Ἑπιφάνειος,Ἑπιφάνιος,Ἑπιφανιου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165853,
f,Esther,Esther,Ἐσθήρ,εσθηρ,,Ἐσθήρ,"Ἐσθήρ,Ἐσθῆρος",,,,,Bauer ,0 mal im Ausgangstext,,
m,Euarestus,Euarestus?,Εὐάρεστος,ευαρεστος,Εὐάρεστος,Εὐάρεστος ,Ευαρεστου,,,,,Bauer,0 mal im Ausgangstext,,
f,Eubula,Eubula,Εὐβούλα,ευβουλα,Εὐβούλη,Εὐβούλα,Ευβουλας,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165881,
m,Euplus,Euplus,Εὔπλους,ευπλους,,Εὔπλους,Ευπλου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165906,
m,Zosimus,Zosimus,Ζώσιμος,ζωσιμος,,Ζώσιμος,Ζωσιμου,,,,,Bauer,0 mal im Ausgangstext,,
m,Zotion,Zotion?,Ζωτίων,ζωτιων,Σωτίων ,Ζωτίων,Ζωτιωνος,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165904,
m,Thamyris,Thamyris,Θάμυρις,θαμυρις,Θαμῦρις,Θάμυρις,Θαμυριδος,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165924,
m,Thegri,Thegri?,Θεγρί,θεγρι,,Θεγρί,Θεγρί,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q77541,
f,Theonoe,Theonoe,Θεονόη,θεονοη,,Θεονόη,Θεονοης,Θεονόῃ,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165931,
m,Theophorus,Theophorus,Θεοφόρος,θεοφορος,,Θεοφόρος,Θεοφορου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165934,
m,Ignatius,Ignatius,Ἰγνάτιος,ιγνατιος,,Ἰγνάτιος,Ιγνατιου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165935,
