label:en|gender|label:el|alternatives|Nom Sg|Gen Sg|Dat Sg|Akk Sg|Voc Sg|factgrid
Aaron, brother of Mose|m|Ααρων||Ἀαρών|Ἀαρών,Ααρωνος|Ἀαρών|Ἀαρών||
Abaddon|m|Αβαδδων||Ἀβαδδών|||||
Abel, son of Adam|m|Αβελ||Ἅβελ|Ἅβελ||Ἅβελ||
Abijah|m|Ἀβιά|||||||
Abiud, son of Zerubbabel|m|Αβιούδ||Ἀβιοὺδ|||Ἀβιοὺδ||https://database.factgrid.de/entity/Q165703
Abjathar, priest in Nob|m|Αβιαθαρ|αβηαβηαθαρ||||||
Abraham, peogenitor of the people of Israel|m|Αβρααμ||Ἀβραάμ|Ἀβραάμ|Ἀβραάμ|Ἀβραάμ|Ἀβραάμ|
Abrion, son of Eliabs|m|Αβειρων|Αβιρων||||||
Achaicus|m|Αχαϊός|Ἀχαϊκός||Αχαικου||||https://database.factgrid.de/entity/Q165708
Achim, son of Sadoc|m|Αχίμ||Ἀχὶμ|||Ἀχὶμ||https://database.factgrid.de/entity/Q165715
Addi, son of Cosam|m|Αδδί|||Ἀδδὶ||||https://database.factgrid.de/entity/Q165732
Admin, son of Arni|m|Αδμιν|||Ἀδμὶν||||
Aeneas|m|Αινέας|||||Αἰνέαν|Αἰνέα|https://database.factgrid.de/entity/Q165758
Agabus|m|Άγαβος||Ἅγαβος|||||https://database.factgrid.de/entity/Q165759
Agrippa|m|Ἀγρίππας||Ἀγρίππας|Ἀγρίππα|||Ἀγρίππα|https://database.factgrid.de/entity/Q165764
Alexander|m|Ἀλέξανδρος||Ἀλέξανδρος|Ἀλεξάνδρου||Ἀλέξανδρον||https://database.factgrid.de/entity/Q165847,https://database.factgrid.de/entity/Q165845
Alphaeus|m|Ἁλφαῖος|||Ἁλφαίου||||https://database.factgrid.de/entity/Q165853
Amminadab, son of Aram|m|Ἀμιναδάβ||Ἀμιναδὰβ|Ἀμιναδὰβ||Ἀμιναδὰβ||https://database.factgrid.de/entity/Q165881
Amos, son of Naum|m|Ἀμώς|αμων,αμμωμ,αμμων|Ἀμώς|Ἀμώς||Ἀμώς||https://database.factgrid.de/entity/Q165904
Amplias|m|Αμπλιατος|||||||https://database.factgrid.de/entity/Q165906
Ananias|m|Ἁνανίας||Ἁνανίας|||Ἁνανίαν|Ἁνανία|https://database.factgrid.de/entity/Q165924
Andrew the Apostle|m|Ανδρέας||Ἀνδρέας|Ἀνδρέου|Ἀνδρέᾳ|Ἀνδρέαν||https://database.factgrid.de/entity/Q77541
Andronicus of Tarsus|m|Ανδρόνικος|||||Ἀνδρόνικον||https://database.factgrid.de/entity/Q165931
Anna, son of Phanuel|m|Ἅννα||Ἅννα|||||https://database.factgrid.de/entity/Q165934
Annas|m|Ἅννας||Ἅννας|Ἅννα||Ἅνναν||https://database.factgrid.de/entity/Q165935
Antipas|m|Ἀντιπᾶς||Ἀντιπᾶς|||||https://database.factgrid.de/entity/Q165936
Apelles|m|Ἀπελλῆς||Ἀπελλῆς|||Ἀπελλῆν||https://database.factgrid.de/entity/Q165939
Apollonius|m|Απολλωνιυς|||||||
